Id,Label,timeset,character,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,eigencentrality
1,여름,,1727,22,6,0.251366,0.338406,26.213174,0,0.070191
2,가을,,2018,23,6,0.252055,0.342029,32.972106,0,0.071653
3,겨울,,1567,22,6,0.251366,0.338406,29.009889,0,0.069636
4,봄,,1300,22,6,0.251366,0.338406,31.831274,0,0.068964
5,7,,268,14,5,0.311337,0.373913,38.673698,0,0.078277
6,8,,608,14,5,0.311337,0.373913,38.673698,0,0.078277
7,9,,700,14,5,0.311337,0.373913,38.673698,0,0.078277
8,10,,971,14,5,0.311337,0.373913,38.673698,0,0.078277
9,11,,799,14,5,0.311337,0.373913,38.673698,0,0.078277
10,13,,533,14,5,0.311337,0.373913,38.673698,0,0.078277
11,14,,808,14,5,0.311337,0.373913,38.673698,0,0.078277
12,16,,642,14,5,0.311337,0.373913,38.673698,0,0.078277
13,17,,143,14,5,0.311337,0.373913,38.673698,0,0.078277
14,12,,146,14,5,0.311337,0.373913,38.673698,0,0.078277
15,15,,788,14,5,0.311337,0.373913,38.673698,0,0.078277
16,18,,47,14,5,0.311337,0.373913,38.673698,0,0.078277
17,22,,13,11,5,0.308208,0.363043,26.143378,0,0.059669
18,6,,50,14,5,0.311337,0.373913,38.673698,0,0.078277
19,0,,15,9,5,0.306156,0.355797,18.276699,1,0.046763
20,2,,6,7,5,0.304132,0.348551,9.390736,0,0.039639
21,20,,10,11,5,0.308208,0.363043,26.006587,0,0.059287
22,3,,9,11,5,0.308208,0.363043,26.15485,0,0.059436
23,1,,6,8,5,0.305141,0.352174,13.674016,0,0.042888
24,5,,10,10,5,0.307179,0.35942,22.212459,1,0.053028
25,21,,13,10,5,0.307179,0.35942,22.149587,1,0.05314
26,19,,20,14,5,0.311337,0.373913,38.673698,0,0.078277
27,4,,3,5,5,0.302135,0.341304,5.601044,0,0.025797
28,23,,3,5,5,0.302135,0.341304,5.401207,1,0.026877
29,29%,,698,24,4,0.412556,0.490489,397.848757,1,0.155221
30,89%,,639,24,4,0.412556,0.490489,391.500156,1,0.152374
31,69%,,540,25,4,0.414414,0.494112,445.945264,1,0.159335
32,90%,,1033,28,4,0.420091,0.504982,536.21553,1,0.166965
33,59%,,625,24,4,0.412556,0.490489,419.941478,0,0.15432
34,39%,,645,26,4,0.41629,0.497736,456.515436,1,0.162244
35,19%,,675,25,4,0.414414,0.494112,433.47246,1,0.160052
36,10%,,537,22,4,0.408889,0.483243,358.028139,0,0.150967
37,79%,,582,26,4,0.41629,0.497736,489.346651,1,0.158658
38,49%,,638,26,4,0.41629,0.497736,451.248664,1,0.162487
39,맑음,,4962,92,3,0.573209,0.709239,3435.729922,1,0.809629
40,강우,,295,46,3,0.445521,0.542572,857.170433,1,0.515083
41,흐림,,1188,76,3,0.521246,0.651268,2025.092846,1,0.74927
42,안개,,121,38,3,0.428904,0.513587,657.408973,1,0.428214
43,강풍,,14,14,3,0.385744,0.42663,108.656003,1,0.145733
44,강설,,32,23,3,0.400871,0.459239,270.844917,1,0.236978
45,건축/건축물/업무시설,,481,23,4,0.486772,0.53442,164.026888,1,0.526367
46,건축/건축물/공동주택,,1886,24,4,0.489362,0.538043,179.761912,2,0.535872
47,토목/옹벽 및 절토사면/옹벽,,29,13,4,0.462312,0.498188,50.194317,1,0.322996
48,토목/터널/철도터널,,59,5,4,0.442308,0.467844,9.582113,2,0.128966
49,토목/기타,,38,18,4,0.474227,0.516304,85.501467,1,0.45753
50,건축/건축물/공장,,482,22,4,0.484211,0.530797,158.465838,1,0.503163
51,건축/건축물/교육연구시설,,444,22,4,0.484211,0.530797,120.265112,2,0.522256
52,건축/건축물/판매시설,,75,16,4,0.469388,0.509058,71.071831,1,0.413983
53,건축/건축물/문화 및 집회시설,,145,18,4,0.474227,0.516304,97.335768,1,0.454539
54,토목/항만/기타,,22,12,4,0.46,0.494565,40.765126,2,0.321959
55,산업환경설비/환경시설/하수처리시설,,32,12,4,0.46,0.494565,47.125146,1,0.324136
56,토목/도로/도로,,297,22,4,0.484211,0.530797,138.125411,1,0.518046
57,토목/도로/기타,,50,18,4,0.474227,0.516304,71.137469,1,0.470862
58,조경/수목원,,2,3,4,0.433962,0.45788,3.278911,1,0.088966
59,건축/건축물/자동차 관련시설,,46,14,4,0.464646,0.501812,60.47011,2,0.353388
60,토목/교량/철도교량,,22,9,4,0.453202,0.483696,26.283952,1,0.24171
61,토목/상하수도/하수도,,174,18,4,0.474227,0.516304,85.269194,2,0.464594
62,건축/건축물/종교시설,,71,16,4,0.469388,0.509058,57.888899,2,0.396046
