,datetime,계절,사고시간,hour,공정율,날씨,공사종류,공종(소분류),공사비,작업자수,부상자,최소공사비
0,2019-07-01,여름,10:10,10,50~59%,맑음,건축/건축물/공동주택,전기설비공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
2,2019-07-01,여름,14:00,14,60~69%,맑음,건축/건축물/판매시설,기타,100억 ~ 150억원 미만,100~299인,1,100억 
3,2019-07-01,여름,17:00,17,30~39%,흐림,건축/건축물/공동주택,건축 토공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
4,2019-07-02,여름,12:00,12,60~69%,맑음,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
6,2019-07-02,여름,14:00,14,50~59%,맑음,토목/도로/기타,토공사,"2,000만 ~ 4,000만원 미만",100~299인,1,"2,000만 "
7,2019-07-02,여름,15:30,15,50~59%,맑음,건축/건축물/자동차 관련시설,철근콘크리트공사,300억 ~ 500억원 미만,100~299인,1,300억 
8,2019-07-03,여름,11:00,11,10~19%,안개,건축/건축물/공동주택,해체 및 철거공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
9,2019-07-03,여름,11:00,11,70~79%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
10,2019-07-03,여름,16:40,16,10~19%,맑음,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
11,2019-07-04,여름,8:00,8,70~79%,맑음,건축/건축물/공동주택,해체 및 철거공사,300억 ~ 500억원 미만,100~299인,1,300억 
12,2019-07-04,여름,11:30,11,80~89%,안개,건축/건축물/공장,토공사,100억 ~ 150억원 미만,100~299인,1,100억 
13,2019-07-04,여름,16:40,16,40~49%,흐림,건축/건축물/업무시설,철골공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
14,2019-07-05,여름,11:25,11,20~29%,맑음,건축/건축물/업무시설,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
15,2019-07-05,여름,12:50,12,20~29%,맑음,산업환경설비/발전시설,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
16,2019-07-06,여름,8:25,8,10~19%,흐림,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
17,2019-07-07,여름,15:00,15,20~29%,흐림,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
18,2019-07-08,여름,7:35,7,10~19%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
21,2019-07-09,여름,8:40,8,20~29%,흐림,건축/건축물/숙박시설,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
22,2019-07-09,여름,10:00,10,50~59%,맑음,건축/건축물/업무시설,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
23,2019-07-09,여름,10:00,10,80~89%,흐림,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
25,2019-07-09,여름,10:40,10,60~69%,강우,산업환경설비/환경시설/하수처리시설,가설공사,300억 ~ 500억원 미만,100~299인,1,300억 
26,2019-07-09,여름,15:20,15,70~79%,맑음,토목/옹벽 및 절토사면/옹벽,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
27,2019-07-09,여름,15:30,15,30~39%,맑음,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
28,2019-07-09,여름,15:30,15,90% 이상,맑음,토목/도로/도로,교량공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
29,2019-07-09,여름,16:30,16,60~69%,맑음,건축/건축물/공장,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
30,2019-07-12,여름,14:00,14,10~19%,맑음,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
32,2019-07-12,여름,15:30,15,40~49%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
33,2019-07-13,여름,10:10,10,10~19%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
34,2019-07-15,여름,8:40,8,20~29%,흐림,건축/건축물/근린생활시설,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
35,2019-07-16,여름,8:30,8,60~69%,흐림,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
36,2019-07-16,여름,10:00,10,80~89%,강우,건축/건축물/공동주택,기타,300억 ~ 500억원 미만,100~299인,1,300억 
37,2019-07-16,여름,15:00,15,20~29%,흐림,건축/건축물/업무시설,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
38,2019-07-16,여름,17:30,17,10~19%,흐림,건축/건축물/기타,기타,150억 ~ 200억원 미만,100~299인,1,150억 
39,2019-07-17,여름,11:46,11,70~79%,흐림,건축/건축물/공동주택,수장공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
