Id,Label,timeset,character,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,eigencentrality
1,여름,,82,12,6,0.246644,0.317574,12.986894,0,0.22531
2,가을,,109,18,6,0.251712,0.344785,96.732217,0,0.254704
3,겨울,,77,13,6,0.247475,0.322109,29.69813,0,0.228686
4,봄,,62,13,6,0.247475,0.322109,32.693965,0,0.227206
555,8,,36,14,5,0.310127,0.384127,67.442109,0,0.305776
666,20,,2,4,5,0.292829,0.331973,5.70148,0,0.083562
777,14,,32,14,5,0.310127,0.384127,67.442109,0,0.305776
888,13,,27,13,5,0.308824,0.379592,59.900448,0,0.282962
999,11,,39,14,5,0.310127,0.384127,67.442109,0,0.305776
1010,10,,43,14,5,0.310127,0.384127,67.442109,0,0.305776
1111,16,,33,14,5,0.308824,0.382426,204.136191,0,0.28483
1212,7,,15,12,5,0.307531,0.375057,52.502546,0,0.258793
1313,9,,30,14,5,0.310127,0.384127,67.442109,0,0.305776
1414,17,,10,10,5,0.303719,0.364286,36.824246,0,0.209486
1515,15,,38,14,5,0.310127,0.384127,67.442109,0,0.305776
1616,21,,1,2,5,0.28937,0.321202,1.262149,0,0.042994
1717,6,,2,3,5,0.291667,0.327438,2.975616,1,0.059656
1818,12,,10,11,5,0.30625,0.370522,47.075309,0,0.235429
1919,19,,3,4,5,0.295181,0.335374,6.280983,0,0.081633
2020,0,,1,2,5,0.284884,0.314399,1.258881,1,0.040818
2121,18,,3,4,5,0.295181,0.335374,5.142693,0,0.092983
2222,23,,1,2,5,0.290514,0.322902,1.309893,1,0.0445
2323,1,,1,2,5,0.290514,0.322902,1.309893,1,0.0445
2424,2,,1,2,5,0.284884,0.314399,1.19984,0,0.040662
25,30-39%,,29,15,4,0.390957,0.460317,382.028379,0,0.348017
26,40-49%,,32,15,4,0.390957,0.460317,380.045624,1,0.351149
27,70-79%,,30,14,4,0.386842,0.454082,274.071362,0,0.331974
28,60-69%,,32,14,4,0.388889,0.455782,244.155607,0,0.334938
29,10% 미만,,45,17,4,0.395161,0.469388,510.519657,1,0.368726
30,90% 이상,,45,15,4,0.390957,0.460317,356.827079,1,0.351336
31,20-29%,,34,16,4,0.393048,0.464853,429.805415,0,0.344254
32,50-59%,,36,14,4,0.388889,0.455782,213.043953,1,0.352412
33,10-19%,,26,13,4,0.386842,0.451247,195.597653,1,0.330931
34,80-89%,,21,12,4,0.384817,0.446712,164.373099,1,0.313907
35,맑음,,256,63,3,0.540441,0.6678,4152.527929,1,1
36,흐림,,56,30,3,0.434911,0.518141,1146.921632,1,0.649357
37,강우,,12,16,4,0.395161,0.449546,347.432669,1,0.378936
38,안개,,4,7,4,0.3675,0.400227,75.851836,1,0.188052
39,강풍,,1,2,5,0.340278,0.360431,5.704931,1,0.060763
40,강설,,1,2,5,0.30625,0.332313,4.762605,2,0.034526
41,토목/상하수도/하수도,,11,9,4,0.429825,0.472222,119.671123,1,0.342446
42,건축/건축물/업무시설,,23,14,4,0.453704,0.501701,296.541386,1,0.496154
43,건축/건축물/공동주택,,55,19,4,0.474194,0.527778,532.018994,1,0.581734
44,건축/건축물/근린생활시설,,26,13,4,0.45092,0.497166,253.431164,1,0.45663
45,토목/도로/도로,,14,10,4,0.44012,0.481859,121.620229,1,0.345966
46,토목/옹벽 및 절토사면/절토사면,,1,2,4,0.369347,0.404762,5.319459,2,0.098001
47,건축/건축물/숙박시설,,5,7,4,0.42,0.459751,84.805746,1,0.300273
48,건축/건축물/종교시설,,2,3,4,0.393048,0.428005,20.108481,2,0.136222
49,건축/건축물/기타,,10,11,4,0.445455,0.488095,212.043129,1,0.38207
50,토목/상하수도/기타,,5,6,4,0.422414,0.458617,75.503425,1,0.24335
51,건축/건축물/자동차 관련시설,,5,6,4,0.415254,0.453515,61.4985,1,0.275685
52,산업환경설비/발전시설,,3,4,4,0.412921,0.446145,31.613376,1,0.185068
53,토목/터널/철도터널,,5,4,4,0.408333,0.442744,36.591867,2,0.199526
54,토목/교량/철도교량,,2,3,4,0.397297,0.431406,22.739022,2,0.144385
55,토목/항만/기타,,1,2,4,0.380829,0.414966,6.986318,1,0.10531
56,건축/건축물/판매시설,,5,5,4,0.417614,0.452381,42.189014,1,0.239536
57,토목/상하수도/상수도,,15,12,4,0.442771,0.489229,182.507988,1,0.422258
58,건축/건축물/공장,,39,17,4,0.46519,0.517007,431.125531,1,0.569754
59,건축/건축물/교육연구시설,,12,9,4,0.4375,0.477324,122.908728,2,0.302795
60,건축/건축물/노유자시설,,3,4,4,0.399457,0.435941,23.189606,1,0.171551
61,토목/터널/기타,,3,3,4,0.380829,0.4178,11.176652,2,0.150061
62,건축/건축물/문화 및 집회시설,,6,7,4,0.427326,0.464853,96.905389,1,0.299472
63,건축/건축물/단독주택,,6,6,4,0.403846,0.445011,55.702404,1,0.195729
64,건축/건축물/창고시설,,7,7,4,0.429825,0.466553,92.353624,1,0.306007
65,건축/건축물/의료시설,,5,7,4,0.427326,0.464853,88.755951,1,0.265923
66,토목/항만/계류시설,,1,2,4,0.371212,0.406463,7.040886,2,0.09593
67,토목/옹벽 및 절토사면/옹벽,,4,5,4,0.42,0.454082,46.044371,1,0.22437
68,토목/도로/기타,,3,4,4,0.403846,0.439342,35.256697,2,0.200495
69,토목/기타/부지조성,,8,9,4,0.427326,0.470522,143.691819,1,0.314007
70,토목/하천/관개수로,,1,2,4,0.380829,0.414966,6.986318,1,0.10531
71,토목/교량/도로교량,,6,7,4,0.429825,0.466553,92.481847,1,0.310148
72,토목/하천/기타,,5,4,4,0.403846,0.439342,23.954265,2,0.18032
73,산업환경설비/환경시설/하수처리시설,,1,2,4,0.375,0.409864,5.336099,2,0.106644
74,토목/기타,,1,2,4,0.369347,0.404762,10.688002,2,0.092692
75,건축/건축물/방송통신시설,,1,2,4,0.375,0.409864,5.166512,2,0.105664
76,조경/공원,,2,3,4,0.376923,0.414399,13.085155,2,0.121096
77,조경/기타,,2,3,4,0.375,0.412698,21.378873,2,0.104873
78,토목/항만/호안,,1,2,4,0.395161,0.426871,13.27975,2,0.118828
79,토목/터널/도로터널,,2,3,4,0.397297,0.431406,29.624603,2,0.127771
80,토목/댐/용수전용댐,,2,4,4,0.401639,0.437642,25.932161,2,0.192612
81,토목/항만/갑문,,1,2,4,0.386842,0.420068,10.633435,2,0.113548
