계절,hour,공정율,날씨,공사종류,공종(소분류),공사비,작업자수
여름,13,30~39%,흐림,건축/건축물/교육연구시설,전기설비공사,100억 ~ 150억원 미만,100~299인
여름,13,50~59%,맑음,토목/도로/기타,가설공사,"1,000억원 이상",100~299인
여름,10,10~19%,흐림,건축/건축물/공동주택,가설공사,"500억 ~ 1,000억원 미만",100~299인
여름,10,40~49%,맑음,건축/건축물/공동주택,타일 및 돌공사,"500억 ~ 1,000억원 미만",100~299인
여름,10,10% 미만,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인
여름,15,60~69%,흐림,건축/건축물/업무시설,해체 및 철거공사,"500억 ~ 1,000억원 미만",100~299인
여름,10,30~39%,흐림,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인
여름,10,30~39%,맑음,건축/건축물/업무시설,철근콘크리트공사,"1,000억원 이상",100~299인
여름,13,70~79%,맑음,건축/건축물/공동주택,미장공사,"1,000만 ~ 2,000만원 미만",100~299인
여름,15,10~19%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인
여름,9,20~29%,맑음,건축/건축물/창고시설,철근콘크리트공사,"1,000억원 이상",100~299인
여름,15,90% 이상,맑음,건축/건축물/공동주택,금속공사,"1,000억원 이상",100~299인
가을,11,30~39%,맑음,건축/건축물/교육연구시설,철근콘크리트공사,100억 ~ 150억원 미만,100~299인
가을,8,30~39%,흐림,건축/건축물/업무시설,철근콘크리트공사,"1,000억원 이상",100~299인
가을,13,10~19%,맑음,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인
겨울,10,30~39%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인
겨울,10,80~89%,맑음,건축/건축물/문화 및 집회시설,수장공사,"500억 ~ 1,000억원 미만",100~299인
겨울,10,80~89%,맑음,토목/터널/철도터널,해체 및 철거공사,"1,000억원 이상",100~299인
nan,10,70~79%,흐림,건축/건축물/공동주택,가설공사,"500억 ~ 1,000억원 미만",100~299인
nan,15,50~59%,안개,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인
nan,14,80~89%,맑음,산업환경설비/발전시설,기타,"1,000억원 이상",100~299인
봄,11,30~39%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인
봄,8,30~39%,맑음,건축/건축물/공장,철골공사,10억 ~ 20억원 미만,100~299인
봄,8,50~59%,흐림,건축/건축물/공장,기타,300억 ~ 500억원 미만,100~299인
봄,12,10% 미만,안개,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인
봄,9,30~39%,흐림,건축/건축물/공동주택,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인
봄,16,20~29%,맑음,건축/건축물/공동주택,기타,"500억 ~ 1,000억원 미만",100~299인
봄,11,40~49%,맑음,건축/건축물/공동주택,건축물 부대공사,"500억 ~ 1,000억원 미만",100~299인
봄,13,90% 이상,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인
봄,16,90% 이상,흐림,건축/건축물/공동주택,건축물 부대공사,"1,000억원 이상",100~299인
봄,10,80~89%,흐림,건축/건축물/공동주택,도장공사,"1,000억원 이상",100~299인
여름,16,70~79%,강우,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인
여름,16,80~89%,맑음,건축/건축물/공동주택,방수공사,"500억 ~ 1,000억원 미만",100~299인
여름,7,20~29%,맑음,건축/건축물/공동주택,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인
여름,13,90% 이상,맑음,건축/건축물/공장,기계설비공사,5억 ~ 10억원 미만,100~299인
여름,10,60~69%,맑음,건축/건축물/공장,기계설비공사,"1,000억원 이상",100~299인
여름,7,70~79%,흐림,건축/건축물/문화 및 집회시설,철골공사,200억 ~ 300억원 미만,100~299인
여름,15,20~29%,강우,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인
여름,11,10~19%,흐림,건축/건축물/업무시설,철근콘크리트공사,"1,000억원 이상",100~299인
